FACT_ID,HEAD,RELATION,TAIL,TIME,ANSWER
FACT_1_0,0,Investigate,Guerrilla (Colombia),2008-07-25,Colombia
FACT_1_1,Colombia,0,Guerrilla (Colombia),2008-07-25,Investigate
FACT_1_2,Colombia,Investigate,0,2008-07-25,Guerrilla (Colombia)
FACT_1_3,Colombia,Investigate,Guerrilla (Colombia),0,2008-07-25
FACT_2_0,0,Consult,City Mayor (Australia),2005-10-11,Police (Australia)
FACT_2_1,Police (Australia),0,City Mayor (Australia),2005-10-11,Consult
FACT_2_2,Police (Australia),Consult,0,2005-10-11,City Mayor (Australia)
FACT_2_3,Police (Australia),Consult,City Mayor (Australia),0,2005-10-11
FACT_3_0,0,Make statement,France,2013-04-23,Foreign Affairs (France)
FACT_3_1,Foreign Affairs (France),0,France,2013-04-23,Make statement
FACT_3_2,Foreign Affairs (France),Make statement,0,2013-04-23,France
FACT_3_3,Foreign Affairs (France),Make statement,France,0,2013-04-23
FACT_4_0,0,Consult,Envoy (United States),2011-09-08,Mahmoud Abbas
FACT_4_1,Mahmoud Abbas,0,Envoy (United States),2011-09-08,Consult
FACT_4_2,Mahmoud Abbas,Consult,0,2011-09-08,Envoy (United States)
FACT_4_3,Mahmoud Abbas,Consult,Envoy (United States),0,2011-09-08
FACT_5_0,0,Consult,Attorney General (Egypt),2015-09-19,Head of Government (Egypt)
FACT_5_1,Head of Government (Egypt),0,Attorney General (Egypt),2015-09-19,Consult
FACT_5_2,Head of Government (Egypt),Consult,0,2015-09-19,Attorney General (Egypt)
FACT_5_3,Head of Government (Egypt),Consult,Attorney General (Egypt),0,2015-09-19
FACT_6_0,0,Host a visit,Head of Government (India),2015-09-22,Ireland
FACT_6_1,Ireland,0,Head of Government (India),2015-09-22,Host a visit
FACT_6_2,Ireland,Host a visit,0,2015-09-22,Head of Government (India)
FACT_6_3,Ireland,Host a visit,Head of Government (India),0,2015-09-22
FACT_7_0,0,Make a visit,Middle East,2006-12-01,Segolene Royal
FACT_7_1,Segolene Royal,0,Middle East,2006-12-01,Make a visit
FACT_7_2,Segolene Royal,Make a visit,0,2006-12-01,Middle East
FACT_7_3,Segolene Royal,Make a visit,Middle East,0,2006-12-01
FACT_8_0,0,Engage in negotiation,Head of Government (India),2015-10-05,Head of Government (Germany)
FACT_8_1,Head of Government (Germany),0,Head of Government (India),2015-10-05,Engage in negotiation
FACT_8_2,Head of Government (Germany),Engage in negotiation,0,2015-10-05,Head of Government (India)
FACT_8_3,Head of Government (Germany),Engage in negotiation,Head of Government (India),0,2015-10-05
FACT_9_0,0,Physically assault,Police (Uganda),2009-09-11,Rioter (Uganda)
FACT_9_1,Rioter (Uganda),0,Police (Uganda),2009-09-11,Physically assault
FACT_9_2,Rioter (Uganda),Physically assault,0,2009-09-11,Police (Uganda)
FACT_9_3,Rioter (Uganda),Physically assault,Police (Uganda),0,2009-09-11
FACT_10_0,0,Physically assault,Party Member (Tanzania),2012-02-27,Citizen (Tanzania)
FACT_10_1,Citizen (Tanzania),0,Party Member (Tanzania),2012-02-27,Physically assault
FACT_10_2,Citizen (Tanzania),Physically assault,0,2012-02-27,Party Member (Tanzania)
FACT_10_3,Citizen (Tanzania),Physically assault,Party Member (Tanzania),0,2012-02-27
FACT_11_0,0,Express intent to meet or negotiate,Meira Kumar,2006-10-13,Arjun Singh
FACT_11_1,Arjun Singh,0,Meira Kumar,2006-10-13,Express intent to meet or negotiate
FACT_11_2,Arjun Singh,Express intent to meet or negotiate,0,2006-10-13,Meira Kumar
FACT_11_3,Arjun Singh,Express intent to meet or negotiate,Meira Kumar,0,2006-10-13
FACT_12_0,0,Grant diplomatic recognition,Other Authorities / Officials (Libya),2012-03-18,High Commission for Refugees
FACT_12_1,High Commission for Refugees,0,Other Authorities / Officials (Libya),2012-03-18,Grant diplomatic recognition
FACT_12_2,High Commission for Refugees,Grant diplomatic recognition,0,2012-03-18,Other Authorities / Officials (Libya)
FACT_12_3,High Commission for Refugees,Grant diplomatic recognition,Other Authorities / Officials (Libya),0,2012-03-18
FACT_13_0,0,Express intent to meet or negotiate,Benedict XVI,2007-01-19,Vietnam
FACT_13_1,Vietnam,0,Benedict XVI,2007-01-19,Express intent to meet or negotiate
FACT_13_2,Vietnam,Express intent to meet or negotiate,0,2007-01-19,Benedict XVI
FACT_13_3,Vietnam,Express intent to meet or negotiate,Benedict XVI,0,2007-01-19
FACT_14_0,0,Make statement,Sérgio de Oliveira Cabral Santos Filho,2010-09-08,Fernando Gabeira
FACT_14_1,Fernando Gabeira,0,Sérgio de Oliveira Cabral Santos Filho,2010-09-08,Make statement
FACT_14_2,Fernando Gabeira,Make statement,0,2010-09-08,Sérgio de Oliveira Cabral Santos Filho
FACT_14_3,Fernando Gabeira,Make statement,Sérgio de Oliveira Cabral Santos Filho,0,2010-09-08
FACT_15_0,0,Make a visit,South Korea,2010-02-08,Okada Katsuya
FACT_15_1,Okada Katsuya,0,South Korea,2010-02-08,Make a visit
FACT_15_2,Okada Katsuya,Make a visit,0,2010-02-08,South Korea
FACT_15_3,Okada Katsuya,Make a visit,South Korea,0,2010-02-08
FACT_16_0,0,Grant diplomatic recognition,Samsung,2005-11-16,Tesco
FACT_16_1,Tesco,0,Samsung,2005-11-16,Grant diplomatic recognition
FACT_16_2,Tesco,Grant diplomatic recognition,0,2005-11-16,Samsung
FACT_16_3,Tesco,Grant diplomatic recognition,Samsung,0,2005-11-16
FACT_17_0,0,Express intent to engage in diplomatic cooperation (such as policy support),Muhammadu Buhari,2015-05-25,Media (Africa)
FACT_17_1,Media (Africa),0,Muhammadu Buhari,2015-05-25,Express intent to engage in diplomatic cooperation (such as policy support)
FACT_17_2,Media (Africa),Express intent to engage in diplomatic cooperation (such as policy support),0,2015-05-25,Muhammadu Buhari
FACT_17_3,Media (Africa),Express intent to engage in diplomatic cooperation (such as policy support),Muhammadu Buhari,0,2015-05-25
FACT_18_0,0,Make pessimistic comment,Citizen (Nigeria),2015-02-18,Head of Government (Nigeria)
FACT_18_1,Head of Government (Nigeria),0,Citizen (Nigeria),2015-02-18,Make pessimistic comment
FACT_18_2,Head of Government (Nigeria),Make pessimistic comment,0,2015-02-18,Citizen (Nigeria)
FACT_18_3,Head of Government (Nigeria),Make pessimistic comment,Citizen (Nigeria),0,2015-02-18
FACT_19_0,0,Sign formal agreement,Laos,2007-12-28,Thailand
FACT_19_1,Thailand,0,Laos,2007-12-28,Sign formal agreement
FACT_19_2,Thailand,Sign formal agreement,0,2007-12-28,Laos
FACT_19_3,Thailand,Sign formal agreement,Laos,0,2007-12-28
FACT_20_0,0,Praise or endorse,Iran,2014-01-29,Member of Legislative (Govt) (South Korea)
FACT_20_1,Member of Legislative (Govt) (South Korea),0,Iran,2014-01-29,Praise or endorse
FACT_20_2,Member of Legislative (Govt) (South Korea),Praise or endorse,0,2014-01-29,Iran
FACT_20_3,Member of Legislative (Govt) (South Korea),Praise or endorse,Iran,0,2014-01-29
